,Date,Open,High,Low,Close,Volume,Predicted Price
1168,2022-06-27,142.6999969482422,143.49000549316406,140.97000122070312,141.66000366210938,70207900,139.1257
1169,2022-06-28,142.1300048828125,143.4199981689453,137.32000732421875,137.44000244140625,67083400,139.69731
1170,2022-06-29,137.4600067138672,140.6699981689453,136.6699981689453,139.22999572753906,66242400,140.45186
1171,2022-06-30,137.25,138.3699951171875,133.77000427246094,136.72000122070312,98964500,140.8577
1172,2022-07-01,136.0399932861328,139.0399932861328,135.66000366210938,138.92999267578125,71051600,141.05815
1173,2022-07-05,137.77000427246094,141.61000061035156,136.92999267578125,141.55999755859375,73353800,143.20331
1174,2022-07-06,141.35000610351562,144.1199951171875,141.0800018310547,142.9199981689453,74064300,144.41629
1175,2022-07-07,143.2899932861328,146.5500030517578,143.27999877929688,146.35000610351562,66253700,144.20375
1176,2022-07-08,145.25999450683594,147.5500030517578,145.0,147.0399932861328,64547800,144.56445
1177,2022-07-11,145.6699981689453,146.63999938964844,143.77999877929688,144.8699951171875,63141600,145.04576
1178,2022-07-12,145.75999450683594,148.4499969482422,145.0500030517578,145.86000061035156,77588800,144.78604
1179,2022-07-13,142.99000549316406,146.4499969482422,142.1199951171875,145.49000549316406,71185600,146.28719
1180,2022-07-14,144.0800018310547,148.9499969482422,143.25,148.47000122070312,78140700,148.77487
1181,2022-07-15,149.77999877929688,150.86000061035156,148.1999969482422,150.1699981689453,76259900,145.46927
1182,2022-07-18,150.74000549316406,151.57000732421875,146.6999969482422,147.07000732421875,81420900,146.31604
1183,2022-07-19,147.9199981689453,151.22999572753906,146.91000366210938,151.0,82982400,146.65651
1184,2022-07-20,151.1199951171875,153.72000122070312,150.3699951171875,153.0399932861328,64823400,147.1476
1185,2022-07-21,154.5,155.57000732421875,151.94000244140625,155.35000610351562,65086600,149.49077
1186,2022-07-22,155.38999938964844,156.27999877929688,153.41000366210938,154.08999633789062,66675400,149.07713
1187,2022-07-25,154.00999450683594,155.0399932861328,152.27999877929688,152.9499969482422,53623900,147.38983
1188,2022-07-26,152.25999450683594,153.08999633789062,150.8000030517578,151.60000610351562,55138700,148.92825
1189,2022-07-27,152.5800018310547,157.3300018310547,152.16000366210938,156.7899932861328,78620700,149.73216
1190,2022-07-28,156.97999572753906,157.63999938964844,154.41000366210938,157.35000610351562,81378700,150.27417
1191,2022-07-29,161.24000549316406,163.6300048828125,159.5,162.50999450683594,101786900,149.69637
1192,2022-08-01,161.00999450683594,163.58999633789062,160.88999938964844,161.50999450683594,67829400,151.6413
1193,2022-08-02,160.10000610351562,162.41000366210938,159.6300048828125,160.00999450683594,59907000,153.22093
1194,2022-08-03,160.83999633789062,166.58999633789062,160.75,166.1300048828125,82507500,153.77081
1195,2022-08-04,166.00999450683594,167.19000244140625,164.42999267578125,165.80999755859375,55474100,152.09306
1196,2022-08-05,163.2100067138672,165.85000610351562,163.0,165.35000610351562,56697000,154.49385
1197,2022-08-08,166.3699951171875,167.80999755859375,164.1999969482422,164.8699951171875,60276900,154.15277
1198,2022-08-09,164.02000427246094,165.82000732421875,163.25,164.9199981689453,63135500,153.63374
1199,2022-08-10,167.67999267578125,169.33999633789062,166.89999389648438,169.24000549316406,70170500,154.70093
1200,2022-08-11,170.05999755859375,170.99000549316406,168.19000244140625,168.49000549316406,57149200,158.54265
1201,2022-08-12,169.82000732421875,172.1699981689453,169.39999389648438,172.10000610351562,68039400,156.13448
1202,2022-08-15,171.52000427246094,173.38999938964844,171.35000610351562,173.19000244140625,54091700,154.6846
1203,2022-08-16,172.77999877929688,173.7100067138672,171.66000366210938,173.02999877929688,56377100,155.68591
1204,2022-08-17,172.77000427246094,176.14999389648438,172.57000732421875,174.5500030517578,79542000,157.35834
1205,2022-08-18,173.75,174.89999389648438,173.1199951171875,174.14999389648438,62290100,158.11337
1206,2022-08-19,173.02999877929688,173.74000549316406,171.30999755859375,171.52000427246094,70346300,159.77016
1207,2022-08-22,169.69000244140625,169.86000061035156,167.13999938964844,167.57000732421875,69026800,162.53098
1208,2022-08-23,167.0800018310547,168.7100067138672,166.64999389648438,167.22999572753906,54147100,159.44554
1209,2022-08-24,167.32000732421875,168.11000061035156,166.25,167.52999877929688,53841500,161.30165
1210,2022-08-25,168.77999877929688,170.13999938964844,168.35000610351562,170.02999877929688,51218200,161.01065
1211,2022-08-26,170.57000732421875,171.0500030517578,163.55999755859375,163.6199951171875,78961000,163.9692
1212,2022-08-29,161.14999389648438,162.89999389648438,159.82000732421875,161.3800048828125,73314000,164.24385
1213,2022-08-30,162.1300048828125,162.55999755859375,157.72000122070312,158.91000366210938,77906200,164.41254
1214,2022-08-31,160.30999755859375,160.5800018310547,157.13999938964844,157.22000122070312,87991100,164.50374
1215,2022-09-01,156.63999938964844,158.4199981689453,154.6699981689453,157.9600067138672,74229900,164.34084
1216,2022-09-02,159.75,160.36000061035156,154.97000122070312,155.80999755859375,76905200,167.1044
1217,2022-09-06,156.47000122070312,157.08999633789062,153.69000244140625,154.52999877929688,73714800,164.58585
1218,2022-09-07,154.82000732421875,156.6699981689453,153.61000061035156,155.9600067138672,87449600,164.61234
1219,2022-09-08,154.63999938964844,156.36000061035156,152.67999267578125,154.4600067138672,84923800,164.99065
1220,2022-09-09,155.47000122070312,157.82000732421875,154.75,157.3699951171875,68028800,165.75912
1221,2022-09-12,159.58999633789062,164.25999450683594,159.3000030517578,163.42999267578125,104956000,167.74387
1222,2022-09-13,159.89999389648438,160.5399932861328,153.3699951171875,153.83999633789062,122656600,166.65337
1223,2022-09-14,154.7899932861328,157.10000610351562,153.61000061035156,155.30999755859375,87965400,168.85437
1224,2022-09-15,154.64999389648438,155.24000549316406,151.3800048828125,152.3699951171875,90481100,166.32758
1225,2022-09-16,151.2100067138672,151.35000610351562,148.3699951171875,150.6999969482422,162157000,167.4224
1226,2022-09-19,149.30999755859375,154.55999755859375,149.10000610351562,154.47999572753906,81474200,169.68268
1227,2022-09-20,153.39999389648438,158.0800018310547,153.0800018310547,156.89999389648438,107689800,169.84273
1228,2022-09-21,157.33999633789062,158.74000549316406,153.60000610351562,153.72000122070312,101696800,170.48286
1229,2022-09-22,152.3800048828125,154.47000122070312,150.91000366210938,152.74000549316406,86652500,170.93987
1230,2022-09-23,151.19000244140625,151.47000122070312,148.55999755859375,150.42999267578125,95939200,169.12108
1231,2022-09-26,149.66000366210938,153.77000427246094,149.63999938964844,150.77000427246094,93339400,168.96825
1232,2022-09-27,152.74000549316406,154.72000122070312,149.9499969482422,151.75999450683594,84442700,170.2064
1233,2022-09-28,147.63999938964844,150.63999938964844,144.83999633789062,149.83999633789062,146691400,169.81784
1234,2022-09-29,146.10000610351562,146.72000122070312,140.67999267578125,142.47999572753906,128138200,169.40309
1235,2022-09-30,141.27999877929688,143.10000610351562,138.0,138.1999969482422,124705400,170.31781
1236,2022-10-03,138.2100067138672,143.07000732421875,137.69000244140625,142.4499969482422,114311700,170.8375
1237,2022-10-04,145.02999877929688,146.22000122070312,144.25999450683594,146.10000610351562,87830100,173.62512
1238,2022-10-05,144.07000732421875,147.3800048828125,143.00999450683594,146.39999389648438,79471000,172.00247
1239,2022-10-06,145.80999755859375,147.5399932861328,145.22000122070312,145.42999267578125,68402200,171.54193
1240,2022-10-07,142.5399932861328,143.10000610351562,139.4499969482422,140.08999633789062,85859100,168.6569
1241,2022-10-10,140.4199981689453,141.88999938964844,138.57000732421875,140.4199981689453,74899000,170.53632
1242,2022-10-11,139.89999389648438,141.35000610351562,138.22000122070312,138.97999572753906,77033700,170.31512
1243,2022-10-12,139.1300048828125,140.36000061035156,138.16000366210938,138.33999633789062,70433700,170.95113
1244,2022-10-13,134.99000549316406,143.58999633789062,134.3699951171875,142.99000549316406,113224000,170.39397
1245,2022-10-14,144.30999755859375,144.52000427246094,138.19000244140625,138.3800048828125,88512300,169.87794
1246,2022-10-17,141.07000732421875,142.89999389648438,140.27000427246094,142.41000366210938,85250900,171.69014
1247,2022-10-18,145.49000549316406,146.6999969482422,140.61000061035156,143.75,99136600,175.56021
1248,2022-10-19,141.69000244140625,144.9499969482422,141.5,143.86000061035156,61758300,171.79936
1249,2022-10-20,143.02000427246094,145.88999938964844,142.64999389648438,143.38999938964844,64522000,172.60568
1250,2022-10-21,142.8699951171875,147.85000610351562,142.64999389648438,147.27000427246094,86464700,175.00879
1251,2022-10-24,147.19000244140625,150.22999572753906,146.0,149.4499969482422,75981900,174.08434
1252,2022-10-25,150.08999633789062,152.49000549316406,149.36000061035156,152.33999633789062,74732300,172.52277
1253,2022-10-26,150.9600067138672,151.99000549316406,148.0399932861328,149.35000610351562,88194300,175.90059
1254,2022-10-27,148.07000732421875,149.0500030517578,144.1300048828125,144.8000030517578,109180200,174.29773
1255,2022-10-28,148.1999969482422,157.5,147.82000732421875,155.74000549316406,164762400,173.75505
1256,2022-10-31,153.16000366210938,154.24000549316406,151.9199981689453,153.33999633789062,97943200,175.69185
1257,2022-11-01,155.0800018310547,155.4499969482422,149.1300048828125,150.64999389648438,80321400,175.5188
