,Date,META,TSLA,XOM,BAC,UNH,BA,AAPL
0,2022-06-27,250.5359,204.6064,75.51306,39.325886,484.74704,197.49332,142.76028
1,2022-06-28,229.48994,212.02579,75.02733,39.376137,492.28967,207.75409,142.53473
2,2022-06-29,257.49768,232.7618,76.24147,40.672333,494.2417,199.79027,143.33237
3,2022-06-30,259.63602,220.23512,78.039116,40.72982,487.5669,203.02762,142.43773
4,2022-07-01,224.31711,237.81773,77.1371,38.798588,483.66516,205.0458,146.0314
5,2022-07-05,240.99469,233.38116,76.40169,40.264942,484.99054,194.9226,145.74069
6,2022-07-06,243.16109,242.08195,74.733536,41.36721,489.5464,206.66928,143.82271
7,2022-07-07,203.97781,251.01427,75.785225,42.57599,481.85504,211.62595,145.92383
8,2022-07-08,251.3245,263.22037,75.60417,39.645195,484.8388,209.05025,146.54547
9,2022-07-11,226.35185,260.2617,77.00868,41.923252,485.87628,203.90921,145.7966
10,2022-07-12,233.772,270.91602,76.33976,41.226536,486.70514,203.00229,148.19662
11,2022-07-13,214.19073,263.06146,75.731476,42.384773,488.07013,206.80548,147.37877
12,2022-07-14,245.27347,281.38165,78.69261,40.41781,482.2052,203.56781,148.98938
13,2022-07-15,230.66078,283.5344,76.27401,43.47834,487.09616,191.47629,147.22458
14,2022-07-18,213.91165,294.12134,78.7494,44.928402,484.93872,195.04692,147.98816
15,2022-07-19,198.75598,294.82556,78.55455,42.543846,489.28436,199.35345,148.89728
16,2022-07-20,236.15274,305.181,77.55174,45.455673,485.87744,191.27025,151.40796
17,2022-07-21,207.79024,296.8605,78.621445,41.94603,488.8197,191.37357,148.37714
18,2022-07-22,229.19374,315.09088,77.64248,43.904053,483.70963,191.30309,150.26585
19,2022-07-25,202.1708,321.58984,79.45837,42.956963,482.82104,188.33606,150.92026
20,2022-07-26,204.41248,331.9201,79.602264,43.573334,491.0288,185.64328,153.18219
21,2022-07-27,217.22653,329.52908,76.862625,44.2058,488.76465,197.14865,150.0851
22,2022-07-28,196.33942,339.33392,77.86488,46.06353,492.5121,190.72531,151.40778
23,2022-07-29,223.56267,348.60132,78.38855,44.613316,484.4881,188.40639,154.569
24,2022-08-01,220.23004,361.5293,79.25903,45.232834,496.84454,186.47195,156.13145
25,2022-08-02,192.69214,352.12305,76.48336,46.86002,489.13525,186.8443,152.25558
26,2022-08-03,239.83034,361.12634,78.835785,45.68682,491.93347,194.2382,154.6048
27,2022-08-04,198.30434,365.8525,79.04414,47.153854,493.99982,189.68312,156.4769
28,2022-08-05,197.46387,369.46417,80.91799,45.971123,490.80542,190.83392,155.69403
29,2022-08-08,214.58655,379.325,80.44396,48.05314,497.88928,185.8166,155.59727
30,2022-08-09,235.4161,390.69653,80.402985,47.172142,500.1403,185.69644,157.3456
31,2022-08-10,221.03355,387.19952,80.26935,47.02133,502.96732,178.75584,156.90492
32,2022-08-11,207.66222,383.85565,80.909035,48.21336,493.5996,176.91196,156.13387
33,2022-08-12,237.48831,388.83188,81.50397,48.21605,500.05188,183.07948,156.1462
34,2022-08-15,206.31271,387.77948,83.26074,47.87449,495.72705,187.1907,159.82889
35,2022-08-16,222.41425,385.94788,81.94873,50.281025,499.30103,177.42485,158.09534
36,2022-08-17,226.02634,390.23065,83.50414,47.975,493.85403,179.20572,161.46387
37,2022-08-18,202.47379,382.0639,82.74161,49.446507,495.53696,184.96436,161.04796
38,2022-08-19,216.91985,403.09537,83.71042,49.496086,500.58386,181.18564,161.50455
39,2022-08-22,211.50555,384.3022,85.14311,48.023098,508.7381,186.84624,161.5922
40,2022-08-23,192.16492,367.82605,84.10132,49.31257,510.3562,178.13159,161.40837
41,2022-08-24,221.92752,390.57083,84.1039,48.80694,493.6981,181.7014,164.30669
42,2022-08-25,195.47485,384.85162,85.53453,45.95793,503.52997,175.17767,163.9235
43,2022-08-26,208.66174,381.57898,83.39488,48.687714,501.02475,179.16934,164.00333
44,2022-08-29,225.15625,387.53046,85.92076,48.458218,502.46167,178.42711,165.38069
45,2022-08-30,199.23077,394.82056,88.29233,49.553596,502.2778,180.48474,166.51294
46,2022-08-31,197.20422,381.0874,85.52403,47.392204,504.74997,177.92656,165.24521
47,2022-09-01,160.94359,385.21112,85.839584,48.96519,498.57526,176.64433,165.85678
48,2022-09-02,181.85434,380.35858,87.76503,48.08245,509.04126,175.64758,167.32169
49,2022-09-06,180.95723,385.4889,85.25608,48.20066,507.35547,174.46724,166.6203
50,2022-09-07,196.84656,374.4566,86.96294,47.58426,505.1617,183.36185,168.60287
51,2022-09-08,167.40225,371.1676,86.936966,46.857727,506.75687,179.80228,166.61276
52,2022-09-09,199.07388,374.51562,89.19502,49.80786,508.53058,174.74927,169.33727
53,2022-09-12,181.32552,362.17883,89.88669,48.5628,502.65643,164.11365,168.9308
54,2022-09-13,164.79492,369.10193,91.66518,48.39879,510.83408,170.73953,169.79251
55,2022-09-14,191.95778,362.0007,89.37309,47.780746,504.3072,167.26202,170.2713
56,2022-09-15,208.67964,378.51956,89.59177,48.952526,508.0391,160.75995,170.11589
57,2022-09-16,190.34802,361.72174,89.18117,48.17756,504.64536,169.71527,170.97955
58,2022-09-19,182.01874,352.6433,88.0179,49.443985,510.50552,161.08643,169.85455
59,2022-09-20,145.58714,355.3382,90.37489,47.154003,507.37955,160.05676,170.08458
60,2022-09-21,185.20332,360.41632,89.31401,47.644596,508.65836,150.29022,171.79721
61,2022-09-22,180.9035,370.59906,89.98179,47.97264,505.28668,158.68831,171.1176
62,2022-09-23,196.65826,360.46387,91.175354,49.938118,515.4262,148.88016,172.97763
63,2022-09-26,190.90898,370.1369,91.6111,43.327606,509.17468,142.3162,169.57361
64,2022-09-27,192.44809,381.37836,92.65404,47.673508,511.77197,145.3942,170.91891
65,2022-09-28,194.39635,370.85855,94.25401,47.32498,510.32697,149.72255,170.49695
66,2022-09-29,180.19994,366.0561,93.68338,46.89256,519.8771,139.28255,171.8936
67,2022-09-30,174.21346,363.17957,95.10587,47.863518,511.74014,137.15489,172.55017
68,2022-10-03,128.76268,359.21722,96.13485,47.078766,512.19293,134.2807,170.80669
69,2022-10-04,166.11644,359.6765,93.9162,44.890244,513.625,141.77365,172.58531
70,2022-10-05,169.7702,369.13226,91.542145,47.889797,519.345,138.2439,172.57715
71,2022-10-06,143.79048,350.52338,93.8202,47.79211,516.82,138.22034,172.61862
72,2022-10-07,169.5847,351.21005,95.37419,47.82616,518.20703,143.72345,174.18314
73,2022-10-10,184.36597,353.6681,96.986404,48.342888,511.91742,136.57864,175.38493
74,2022-10-11,169.09299,344.39966,97.197754,48.192245,513.2855,131.25319,173.3058
75,2022-10-12,190.10019,343.29718,95.89982,50.879078,510.66187,140.60672,172.32861
76,2022-10-13,174.81024,348.09143,96.533676,47.895943,507.29236,129.34537,173.40045
77,2022-10-14,167.0246,348.9549,95.37909,48.294895,511.27618,129.25656,173.12543
78,2022-10-17,163.06958,334.6266,97.07977,49.397507,517.88965,141.80516,174.91866
79,2022-10-18,159.20215,333.17987,98.861435,48.552387,509.81012,130.29424,173.45941
80,2022-10-19,177.67146,327.76837,98.801926,47.736443,506.93097,134.82387,173.72879
81,2022-10-20,181.91895,328.87418,98.293625,48.99514,515.73804,124.872505,176.83698
82,2022-10-21,167.33052,324.75586,97.618164,49.126476,508.28427,127.979866,175.29279
83,2022-10-24,183.56532,309.56152,99.79411,51.226357,510.6815,129.4801,173.84515
84,2022-10-25,156.59427,313.56006,99.89133,52.01905,505.71042,124.810265,174.73563
85,2022-10-26,133.90839,303.75543,99.726036,50.49738,499.18903,125.32197,175.67366
86,2022-10-27,147.63622,308.42657,98.823135,49.38449,503.36166,114.96,177.70682
87,2022-10-28,164.20909,307.8258,98.93456,49.956036,508.92273,129.37274,175.3364
88,2022-10-31,131.46196,307.62085,96.67851,49.140556,500.34338,120.86686,176.9631
89,2022-11-01,143.26929,296.88806,97.42369,50.573425,501.9249,126.175026,175.19627
